,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,26,FP1,0,4.801,c,S1 obj,0,co2c0000342,0
6,26,FP1,1,6.755,c,S1 obj,0,co2c0000342,0.00390625
7,26,FP1,2,7.243,c,S1 obj,0,co2c0000342,0.0078125
8,26,FP1,3,6.266,c,S1 obj,0,co2c0000342,0.01171875
9,26,FP1,4,3.825,c,S1 obj,0,co2c0000342,0.015625
10,26,FP1,5,1.383,c,S1 obj,0,co2c0000342,0.01953125
11,26,FP1,6,0.895,c,S1 obj,0,co2c0000342,0.0234375
12,26,FP1,7,1.383,c,S1 obj,0,co2c0000342,0.02734375
13,26,FP1,8,1.872,c,S1 obj,0,co2c0000342,0.03125
14,26,FP1,9,1.383,c,S1 obj,0,co2c0000342,0.03515625
15,26,FP1,10,0.895,c,S1 obj,0,co2c0000342,0.0390625
16,26,FP1,11,-0.57,c,S1 obj,0,co2c0000342,0.04296875
17,26,FP1,12,-2.035,c,S1 obj,0,co2c0000342,0.046875
18,26,FP1,13,-3.011,c,S1 obj,0,co2c0000342,0.05078125
19,26,FP1,14,-3.988,c,S1 obj,0,co2c0000342,0.0546875
20,26,FP1,15,-4.476,c,S1 obj,0,co2c0000342,0.05859375
21,26,FP1,16,-3.011,c,S1 obj,0,co2c0000342,0.0625
22,26,FP1,17,-0.57,c,S1 obj,0,co2c0000342,0.06640625
23,26,FP1,18,3.337,c,S1 obj,0,co2c0000342,0.0703125
24,26,FP1,19,6.266,c,S1 obj,0,co2c0000342,0.07421875
25,26,FP1,20,6.266,c,S1 obj,0,co2c0000342,0.078125
26,26,FP1,21,4.313,c,S1 obj,0,co2c0000342,0.08203125
27,26,FP1,22,1.872,c,S1 obj,0,co2c0000342,0.0859375
28,26,FP1,23,0.407,c,S1 obj,0,co2c0000342,0.08984375
29,26,FP1,24,1.383,c,S1 obj,0,co2c0000342,0.09375
30,26,FP1,25,2.848,c,S1 obj,0,co2c0000342,0.09765625
31,26,FP1,26,3.337,c,S1 obj,0,co2c0000342,0.1015625
32,26,FP1,27,2.36,c,S1 obj,0,co2c0000342,0.10546875
33,26,FP1,28,0.895,c,S1 obj,0,co2c0000342,0.109375
34,26,FP1,29,-0.081,c,S1 obj,0,co2c0000342,0.11328125
35,26,FP1,30,0.407,c,S1 obj,0,co2c0000342,0.1171875
36,26,FP1,31,1.383,c,S1 obj,0,co2c0000342,0.12109375
37,26,FP1,32,0.407,c,S1 obj,0,co2c0000342,0.125
38,26,FP1,33,-2.523,c,S1 obj,0,co2c0000342,0.12890625
39,26,FP1,34,-5.452,c,S1 obj,0,co2c0000342,0.1328125
40,26,FP1,35,-7.406,c,S1 obj,0,co2c0000342,0.13671875
41,26,FP1,36,-6.429,c,S1 obj,0,co2c0000342,0.140625
42,26,FP1,37,-3.499,c,S1 obj,0,co2c0000342,0.14453125
43,26,FP1,38,-2.035,c,S1 obj,0,co2c0000342,0.1484375
44,26,FP1,39,-2.523,c,S1 obj,0,co2c0000342,0.15234375
45,26,FP1,40,-4.964,c,S1 obj,0,co2c0000342,0.15625
46,26,FP1,41,-7.894,c,S1 obj,0,co2c0000342,0.16015625
47,26,FP1,42,-8.87,c,S1 obj,0,co2c0000342,0.1640625
48,26,FP1,43,-7.406,c,S1 obj,0,co2c0000342,0.16796875
49,26,FP1,44,-4.476,c,S1 obj,0,co2c0000342,0.171875
50,26,FP1,45,-3.011,c,S1 obj,0,co2c0000342,0.17578125
51,26,FP1,46,-3.499,c,S1 obj,0,co2c0000342,0.1796875
52,26,FP1,47,-5.941,c,S1 obj,0,co2c0000342,0.18359375
53,26,FP1,48,-8.382,c,S1 obj,0,co2c0000342,0.1875
54,26,FP1,49,-9.847,c,S1 obj,0,co2c0000342,0.19140625
55,26,FP1,50,-9.847,c,S1 obj,0,co2c0000342,0.1953125
56,26,FP1,51,-8.87,c,S1 obj,0,co2c0000342,0.19921875
57,26,FP1,52,-7.894,c,S1 obj,0,co2c0000342,0.203125
58,26,FP1,53,-6.917,c,S1 obj,0,co2c0000342,0.20703125
59,26,FP1,54,-5.941,c,S1 obj,0,co2c0000342,0.2109375
60,26,FP1,55,-4.964,c,S1 obj,0,co2c0000342,0.21484375
61,26,FP1,56,-5.941,c,S1 obj,0,co2c0000342,0.21875
62,26,FP1,57,-7.406,c,S1 obj,0,co2c0000342,0.22265625
63,26,FP1,58,-8.382,c,S1 obj,0,co2c0000342,0.2265625
64,26,FP1,59,-8.382,c,S1 obj,0,co2c0000342,0.23046875
65,26,FP1,60,-5.452,c,S1 obj,0,co2c0000342,0.234375
66,26,FP1,61,-2.523,c,S1 obj,0,co2c0000342,0.23828125
67,26,FP1,62,-0.081,c,S1 obj,0,co2c0000342,0.2421875
68,26,FP1,63,0.407,c,S1 obj,0,co2c0000342,0.24609375
69,26,FP1,64,-0.081,c,S1 obj,0,co2c0000342,0.25
70,26,FP1,65,0.407,c,S1 obj,0,co2c0000342,0.25390625
71,26,FP1,66,2.36,c,S1 obj,0,co2c0000342,0.2578125
72,26,FP1,67,5.29,c,S1 obj,0,co2c0000342,0.26171875
73,26,FP1,68,7.243,c,S1 obj,0,co2c0000342,0.265625
74,26,FP1,69,8.219,c,S1 obj,0,co2c0000342,0.26953125
75,26,FP1,70,7.243,c,S1 obj,0,co2c0000342,0.2734375
76,26,FP1,71,6.266,c,S1 obj,0,co2c0000342,0.27734375
77,26,FP1,72,6.755,c,S1 obj,0,co2c0000342,0.28125
78,26,FP1,73,7.731,c,S1 obj,0,co2c0000342,0.28515625
79,26,FP1,74,8.708,c,S1 obj,0,co2c0000342,0.2890625
80,26,FP1,75,8.219,c,S1 obj,0,co2c0000342,0.29296875
81,26,FP1,76,6.755,c,S1 obj,0,co2c0000342,0.296875
82,26,FP1,77,5.778,c,S1 obj,0,co2c0000342,0.30078125
83,26,FP1,78,6.266,c,S1 obj,0,co2c0000342,0.3046875
84,26,FP1,79,7.731,c,S1 obj,0,co2c0000342,0.30859375
85,26,FP1,80,10.173,c,S1 obj,0,co2c0000342,0.3125
86,26,FP1,81,11.637,c,S1 obj,0,co2c0000342,0.31640625
87,26,FP1,82,11.637,c,S1 obj,0,co2c0000342,0.3203125
88,26,FP1,83,11.149,c,S1 obj,0,co2c0000342,0.32421875
89,26,FP1,84,11.637,c,S1 obj,0,co2c0000342,0.328125
90,26,FP1,85,14.079,c,S1 obj,0,co2c0000342,0.33203125
91,26,FP1,86,15.544,c,S1 obj,0,co2c0000342,0.3359375
92,26,FP1,87,16.52,c,S1 obj,0,co2c0000342,0.33984375
93,26,FP1,88,16.032,c,S1 obj,0,co2c0000342,0.34375
94,26,FP1,89,15.544,c,S1 obj,0,co2c0000342,0.34765625
95,26,FP1,90,15.055,c,S1 obj,0,co2c0000342,0.3515625
96,26,FP1,91,15.055,c,S1 obj,0,co2c0000342,0.35546875
97,26,FP1,92,13.59,c,S1 obj,0,co2c0000342,0.359375
98,26,FP1,93,10.661,c,S1 obj,0,co2c0000342,0.36328125
